baseline,recovery,stage1,stage2,stage3,stage4
0.0,0.0,0.0,0.0,0.0,0.0
137.0,151.0,125.0,121.0,99.0,84.0
132.0,73.0,115.0,117.0,99.0,84.0
138.0,74.0,110.0,116.0,105.0,84.0
137.0,73.0,114.0,112.0,93.0,84.0
142.0,219.0,120.0,123.0,95.0,80.0
142.0,73.0,126.0,121.0,104.0,84.0
136.0,220.0,111.0,110.0,93.0,88.0
154.0,220.0,115.0,115.0,106.0,78.0
161.0,73.0,112.0,123.0,104.0,84.0
141.0,73.0,120.0,209.0,94.0,83.0
303.0,69.0,128.0,114.0,106.0,76.0
151.0,78.0,122.0,116.0,99.0,87.0
136.0,74.0,121.0,108.0,91.0,82.0
137.0,74.0,127.0,105.0,102.0,82.0
141.0,73.0,119.0,102.0,99.0,80.0
146.0,74.0,121.0,109.0,99.0,86.0
144.0,75.0,118.0,108.0,98.0,76.0
136.0,73.0,130.0,109.0,100.0,86.0
138.0,75.0,127.0,95.0,95.0,74.0
133.0,74.0,122.0,110.0,92.0,84.0
137.0,75.0,125.0,124.0,101.0,80.0
129.0,75.0,133.0,110.0,90.0,74.0
139.0,220.0,123.0,100.0,100.0,79.0
137.0,81.0,124.0,110.0,89.0,78.0
127.0,151.0,129.0,109.0,100.0,79.0
136.0,76.0,118.0,109.0,98.0,83.0
134.0,70.0,125.0,212.0,88.0,78.0
126.0,77.0,116.0,110.0,96.0,75.0
133.0,76.0,128.0,114.0,89.0,74.0
133.0,230.0,124.0,105.0,87.0,77.0
134.0,75.0,129.0,108.0,97.0,77.0
118.0,75.0,122.0,108.0,87.0,82.0
129.0,76.0,131.0,109.0,96.0,76.0
119.0,76.0,123.0,103.0,88.0,72.0
120.0,76.0,127.0,213.0,96.0,75.0
128.0,70.0,128.0,122.0,88.0,76.0
130.0,76.0,119.0,116.0,97.0,82.0
129.0,377.0,125.0,216.0,87.0,74.0
125.0,75.0,122.0,103.0,97.0,71.0
145.0,76.0,126.0,110.0,88.0,81.0
131.0,75.0,120.0,111.0,186.0,74.0
145.0,81.0,127.0,108.0,98.0,75.0
135.0,151.0,130.0,116.0,89.0,70.0
141.0,76.0,132.0,100.0,98.0,75.0
140.0,78.0,119.0,105.0,92.0,74.0
137.0,77.0,252.0,115.0,95.0,80.0
122.0,152.0,118.0,117.0,92.0,74.0
146.0,83.0,89.0,110.0,93.0,74.0
129.0,80.0,144.0,101.0,96.0,69.0
135.0,79.0,133.0,113.0,89.0,74.0
131.0,74.0,116.0,111.0,93.0,74.0
135.0,79.0,120.0,109.0,93.0,74.0
126.0,84.0,116.0,109.0,101.0,74.0
141.0,79.0,126.0,103.0,86.0,73.0
127.0,79.0,125.0,115.0,101.0,74.0
137.0,79.0,120.0,115.0,87.0,73.0
132.0,79.0,131.0,104.0,93.0,74.0
255.0,622.0,131.0,114.0,95.0,69.0
125.0,78.0,131.0,106.0,95.0,79.0
133.0,241.0,133.0,113.0,95.0,73.0
123.0,80.0,256.0,111.0,95.0,79.0
252.0,79.0,132.0,110.0,94.0,68.0
123.0,79.0,255.0,107.0,95.0,69.0
254.0,80.0,120.0,117.0,90.0,83.0
122.0,80.0,125.0,120.0,101.0,73.0
132.0,74.0,351.0,109.0,85.0,74.0
123.0,81.0,123.0,114.0,101.0,68.0
132.0,80.0,118.0,114.0,93.0,77.0
257.0,81.0,122.0,117.0,94.0,69.0
122.0,86.0,123.0,222.0,92.0,79.0
133.0,76.0,118.0,122.0,88.0,74.0
124.0,87.0,128.0,109.0,99.0,69.0
127.0,83.0,127.0,114.0,88.0,74.0
153.0,77.0,121.0,119.0,90.0,74.0
98.0,84.0,131.0,102.0,97.0,73.0
123.0,172.0,140.0,103.0,100.0,74.0
119.0,84.0,123.0,112.0,89.0,74.0
134.0,82.0,127.0,207.0,100.0,74.0
118.0,83.0,123.0,115.0,89.0,79.0
119.0,81.0,130.0,101.0,100.0,69.0
125.0,84.0,247.0,104.0,77.0,79.0
129.0,159.0,109.0,107.0,111.0,74.0
117.0,87.0,130.0,108.0,88.0,74.0
123.0,82.0,114.0,111.0,98.0,73.0
119.0,81.0,124.0,100.0,88.0,74.0
130.0,82.0,124.0,101.0,99.0,73.0
129.0,78.0,117.0,111.0,87.0,70.0
127.0,82.0,122.0,310.0,89.0,73.0
118.0,83.0,124.0,109.0,96.0,79.0
126.0,82.0,119.0,111.0,97.0,69.0
129.0,82.0,113.0,201.0,87.0,79.0
116.0,87.0,117.0,108.0,98.0,68.0
119.0,76.0,115.0,105.0,88.0,80.0
107.0,82.0,117.0,106.0,98.0,68.0
129.0,81.0,110.0,105.0,87.0,74.0
109.0,86.0,117.0,103.0,97.0,79.0
114.0,81.0,116.0,105.0,87.0,73.0
109.0,81.0,116.0,102.0,99.0,74.0
116.0,81.0,122.0,109.0,88.0,75.0
105.0,82.0,114.0,110.0,98.0,69.0
110.0,82.0,115.0,90.0,87.0,74.0
111.0,83.0,121.0,118.0,88.0,74.0
121.0,82.0,119.0,93.0,98.0,75.0
239.0,82.0,126.0,111.0,97.0,79.0
127.0,83.0,112.0,102.0,89.0,69.0
119.0,83.0,118.0,101.0,98.0,74.0
143.0,82.0,112.0,96.0,88.0,75.0
125.0,81.0,122.0,105.0,98.0,74.0
120.0,83.0,123.0,100.0,88.0,74.0
136.0,82.0,112.0,96.0,99.0,74.0
120.0,83.0,115.0,101.0,87.0,79.0
115.0,83.0,107.0,102.0,88.0,75.0
119.0,83.0,116.0,103.0,98.0,73.0
121.0,84.0,116.0,102.0,87.0,73.0
118.0,84.0,108.0,101.0,102.0,64.0
127.0,83.0,99.0,103.0,83.0,84.0
248.0,83.0,116.0,100.0,97.0,74.0
127.0,83.0,114.0,109.0,87.0,73.0
142.0,79.0,110.0,108.0,96.0,68.0
133.0,84.0,116.0,97.0,86.0,73.0
124.0,85.0,118.0,109.0,96.0,74.0
134.0,85.0,107.0,100.0,87.0,73.0
131.0,90.0,112.0,109.0,96.0,74.0
144.0,85.0,109.0,97.0,86.0,78.0
121.0,85.0,106.0,106.0,95.0,68.0
119.0,85.0,98.0,100.0,92.0,73.0
131.0,85.0,115.0,99.0,89.0,73.0
132.0,86.0,112.0,97.0,97.0,78.0
259.0,80.0,91.0,107.0,83.0,73.0
124.0,86.0,119.0,100.0,90.0,73.0
259.0,85.0,106.0,105.0,90.0,62.0
121.0,86.0,105.0,106.0,89.0,78.0
121.0,85.0,112.0,105.0,90.0,78.0
134.0,86.0,110.0,109.0,89.0,67.0
127.0,85.0,116.0,203.0,85.0,72.0
257.0,92.0,104.0,100.0,93.0,73.0
134.0,85.0,124.0,98.0,94.0,72.0
145.0,85.0,115.0,108.0,83.0,73.0
108.0,86.0,115.0,96.0,95.0,72.0
129.0,86.0,124.0,106.0,82.0,72.0
119.0,81.0,118.0,106.0,94.0,73.0
258.0,85.0,120.0,96.0,83.0,72.0
120.0,87.0,114.0,108.0,92.0,78.0
127.0,86.0,122.0,96.0,83.0,72.0
142.0,87.0,124.0,109.0,92.0,73.0
119.0,86.0,111.0,96.0,82.0,67.0
124.0,87.0,115.0,110.0,88.0,73.0
129.0,87.0,115.0,104.0,85.0,72.0
133.0,87.0,118.0,97.0,95.0,73.0
132.0,87.0,233.0,106.0,78.0,72.0
131.0,88.0,112.0,103.0,86.0,72.0
132.0,87.0,109.0,103.0,91.0,78.0
148.0,88.0,124.0,104.0,86.0,73.0
126.0,88.0,140.0,204.0,88.0,72.0
132.0,87.0,97.0,101.0,82.0,72.0
139.0,87.0,125.0,103.0,92.0,72.0
130.0,93.0,115.0,101.0,82.0,73.0
131.0,87.0,122.0,101.0,91.0,71.0
85.0,87.0,126.0,99.0,82.0,72.0
187.0,88.0,114.0,201.0,82.0,67.0
129.0,89.0,86.0,103.0,90.0,76.0
119.0,87.0,136.0,97.0,88.0,67.0
133.0,88.0,122.0,201.0,83.0,76.0
133.0,90.0,129.0,107.0,86.0,72.0
129.0,88.0,100.0,196.0,86.0,67.0
127.0,84.0,105.0,128.0,85.0,72.0
131.0,89.0,107.0,84.0,89.0,72.0
127.0,89.0,209.0,108.0,81.0,76.0
137.0,88.0,213.0,102.0,90.0,72.0
136.0,88.0,116.0,101.0,79.0,67.0
141.0,88.0,113.0,101.0,89.0,71.0
141.0,87.0,116.0,101.0,80.0,72.0
132.0,88.0,112.0,96.0,79.0,76.0
136.0,87.0,106.0,95.0,90.0,72.0
133.0,88.0,114.0,104.0,81.0,71.0
123.0,88.0,120.0,100.0,84.0,72.0
130.0,88.0,116.0,101.0,84.0,71.0
128.0,88.0,227.0,99.0,84.0,66.0
129.0,94.0,111.0,200.0,88.0,71.0
128.0,90.0,124.0,101.0,84.0,71.0
122.0,89.0,121.0,85.0,78.0,72.0
135.0,85.0,114.0,125.0,89.0,71.0
145.0,91.0,119.0,91.0,79.0,71.0
133.0,91.0,108.0,96.0,79.0,77.0
165.0,90.0,122.0,106.0,88.0,71.0
116.0,89.0,108.0,201.0,87.0,71.0
144.0,89.0,108.0,106.0,81.0,71.0
122.0,89.0,100.0,95.0,83.0,66.0
135.0,94.0,120.0,105.0,84.0,71.0
135.0,88.0,122.0,85.0,84.0,72.0
135.0,88.0,110.0,113.0,79.0,76.0
133.0,89.0,116.0,85.0,88.0,71.0
128.0,84.0,115.0,114.0,79.0,66.0
123.0,95.0,128.0,95.0,88.0,71.0
134.0,84.0,115.0,103.0,79.0,76.0
140.0,90.0,120.0,95.0,87.0,71.0
133.0,90.0,120.0,96.0,80.0,72.0
139.0,90.0,113.0,100.0,87.0,65.0
129.0,92.0,118.0,96.0,83.0,71.0
129.0,91.0,116.0,98.0,83.0,76.0
135.0,92.0,106.0,98.0,83.0,66.0
127.0,92.0,110.0,100.0,88.0,70.0
135.0,92.0,109.0,93.0,82.0,71.0
131.0,92.0,109.0,108.0,84.0,71.0
123.0,92.0,104.0,92.0,78.0,70.0
133.0,93.0,108.0,105.0,89.0,71.0
133.0,92.0,131.0,104.0,77.0,70.0
122.0,92.0,108.0,105.0,79.0,76.0
126.0,91.0,113.0,105.0,87.0,69.0
127.0,92.0,122.0,100.0,83.0,70.0
122.0,90.0,122.0,110.0,83.0,66.0
123.0,96.0,113.0,126.0,171.0,75.0
129.0,89.0,116.0,94.0,78.0,70.0
117.0,85.0,117.0,99.0,89.0,64.0
120.0,90.0,122.0,111.0,79.0,75.0
143.0,90.0,111.0,107.0,78.0,70.0
106.0,90.0,115.0,111.0,88.0,71.0
125.0,91.0,114.0,102.0,84.0,68.0
134.0,90.0,125.0,111.0,84.0,65.0
120.0,92.0,120.0,102.0,84.0,75.0
129.0,92.0,112.0,125.0,83.0,63.0
135.0,93.0,116.0,92.0,84.0,70.0
126.0,93.0,110.0,96.0,89.0,69.0
65.0,94.0,110.0,108.0,79.0,70.0
64.0,94.0,128.0,105.0,168.0,69.0
122.0,93.0,110.0,106.0,80.0,75.0
124.0,92.0,226.0,101.0,88.0,69.0
124.0,92.0,111.0,98.0,83.0,70.0
131.0,93.0,120.0,108.0,84.0,70.0
119.0,91.0,108.0,136.0,89.0,69.0
123.0,92.0,112.0,62.0,78.0,63.0
150.0,91.0,112.0,118.0,82.0,70.0
101.0,91.0,115.0,101.0,83.0,69.0
123.0,92.0,135.0,108.0,83.0,70.0
118.0,93.0,98.0,107.0,89.0,69.0
134.0,93.0,109.0,106.0,79.0,74.0
136.0,93.0,116.0,100.0,88.0,70.0
137.0,98.0,119.0,112.0,80.0,69.0
131.0,88.0,120.0,110.0,84.0,64.0
137.0,94.0,110.0,90.0,82.0,70.0
130.0,94.0,114.0,118.0,84.0,69.0
131.0,95.0,105.0,104.0,84.0,74.0
125.0,95.0,254.0,94.0,168.0,69.0
134.0,95.0,92.0,212.0,83.0,70.0
123.0,95.0,109.0,103.0,85.0,69.0
127.0,95.0,111.0,106.0,84.0,63.0
146.0,95.0,106.0,109.0,90.0,69.0
100.0,94.0,109.0,98.0,170.0,74.0
93.0,94.0,119.0,109.0,80.0,63.0
193.0,93.0,123.0,98.0,88.0,69.0
108.0,94.0,112.0,109.0,80.0,73.0
