baseline,stage1,stage2,stage3,stage4,recovery
88.0,96.0,99.0,121.0,143.0,79.0
91.0,104.0,103.0,121.0,143.0,164.0
87.0,109.0,103.0,114.0,143.0,162.0
88.0,105.0,107.0,129.0,143.0,164.0
85.0,100.0,98.0,126.0,150.0,55.0
85.0,95.0,99.0,115.0,143.0,164.0
88.0,108.0,109.0,129.0,136.0,55.0
78.0,104.0,104.0,113.0,154.0,55.0
75.0,107.0,98.0,115.0,143.0,164.0
85.0,100.0,57.0,128.0,145.0,164.0
40.0,94.0,105.0,113.0,158.0,174.0
79.0,98.0,103.0,121.0,138.0,154.0
88.0,99.0,111.0,132.0,146.0,162.0
88.0,94.0,114.0,118.0,146.0,162.0
85.0,101.0,118.0,121.0,150.0,164.0
82.0,99.0,110.0,121.0,140.0,162.0
83.0,102.0,111.0,122.0,158.0,160.0
88.0,92.0,110.0,120.0,140.0,164.0
87.0,94.0,126.0,126.0,162.0,160.0
90.0,98.0,109.0,130.0,143.0,162.0
88.0,96.0,97.0,119.0,150.0,160.0
93.0,90.0,109.0,133.0,162.0,160.0
86.0,98.0,120.0,120.0,152.0,55.0
88.0,97.0,109.0,135.0,154.0,148.0
94.0,93.0,110.0,120.0,152.0,79.0
88.0,102.0,110.0,122.0,145.0,158.0
90.0,96.0,57.0,136.0,154.0,171.0
95.0,103.0,109.0,125.0,160.0,156.0
90.0,94.0,105.0,135.0,162.0,158.0
90.0,97.0,114.0,138.0,156.0,52.0
90.0,93.0,111.0,124.0,156.0,160.0
102.0,98.0,111.0,138.0,146.0,160.0
93.0,92.0,110.0,125.0,158.0,158.0
101.0,98.0,117.0,136.0,167.0,158.0
100.0,94.0,56.0,125.0,160.0,158.0
94.0,94.0,98.0,136.0,158.0,171.0
92.0,101.0,103.0,124.0,146.0,158.0
93.0,96.0,56.0,138.0,162.0,32.0
96.0,98.0,117.0,124.0,169.0,160.0
83.0,95.0,109.0,136.0,148.0,158.0
92.0,100.0,108.0,65.0,162.0,160.0
83.0,94.0,111.0,122.0,160.0,148.0
89.0,92.0,103.0,135.0,171.0,79.0
85.0,91.0,120.0,122.0,160.0,158.0
86.0,101.0,114.0,130.0,162.0,154.0
88.0,48.0,104.0,126.0,150.0,156.0
98.0,102.0,103.0,130.0,162.0,79.0
82.0,135.0,109.0,129.0,162.0,145.0
93.0,83.0,119.0,125.0,174.0,150.0
89.0,90.0,106.0,135.0,162.0,152.0
92.0,103.0,108.0,129.0,162.0,162.0
89.0,100.0,110.0,129.0,162.0,152.0
95.0,103.0,110.0,119.0,162.0,143.0
85.0,95.0,117.0,140.0,164.0,152.0
94.0,96.0,104.0,119.0,162.0,152.0
88.0,100.0,104.0,138.0,164.0,152.0
91.0,92.0,115.0,129.0,162.0,152.0
47.0,92.0,105.0,126.0,174.0,19.0
96.0,92.0,113.0,126.0,152.0,154.0
90.0,90.0,106.0,126.0,164.0,50.0
98.0,47.0,108.0,126.0,152.0,150.0
48.0,91.0,109.0,128.0,176.0,152.0
98.0,47.0,112.0,126.0,174.0,152.0
47.0,100.0,103.0,133.0,145.0,150.0
98.0,96.0,100.0,119.0,164.0,150.0
91.0,34.0,110.0,141.0,162.0,162.0
98.0,98.0,105.0,119.0,176.0,148.0
91.0,102.0,105.0,129.0,156.0,150.0
47.0,98.0,103.0,128.0,174.0,148.0
98.0,98.0,54.0,130.0,152.0,140.0
90.0,102.0,98.0,136.0,162.0,158.0
97.0,94.0,110.0,121.0,174.0,138.0
94.0,94.0,105.0,136.0,162.0,145.0
78.0,99.0,101.0,133.0,162.0,156.0
122.0,92.0,118.0,124.0,164.0,143.0
98.0,86.0,117.0,120.0,162.0,70.0
101.0,98.0,107.0,135.0,162.0,143.0
90.0,94.0,58.0,120.0,162.0,146.0
102.0,98.0,104.0,135.0,152.0,145.0
101.0,92.0,119.0,120.0,174.0,148.0
96.0,49.0,115.0,156.0,152.0,143.0
93.0,110.0,112.0,108.0,162.0,75.0
103.0,92.0,111.0,136.0,162.0,138.0
98.0,105.0,108.0,122.0,164.0,146.0
101.0,97.0,120.0,136.0,162.0,148.0
92.0,97.0,119.0,121.0,164.0,146.0
93.0,103.0,108.0,138.0,171.0,154.0
94.0,98.0,39.0,135.0,164.0,146.0
102.0,97.0,110.0,125.0,152.0,145.0
95.0,101.0,108.0,124.0,174.0,146.0
93.0,106.0,60.0,138.0,152.0,146.0
103.0,103.0,111.0,122.0,176.0,138.0
101.0,104.0,114.0,136.0,150.0,158.0
112.0,103.0,113.0,122.0,176.0,146.0
93.0,109.0,114.0,138.0,162.0,148.0
110.0,103.0,117.0,124.0,152.0,140.0
105.0,103.0,114.0,138.0,164.0,148.0
110.0,103.0,118.0,121.0,162.0,148.0
103.0,98.0,110.0,136.0,160.0,148.0
114.0,105.0,109.0,122.0,174.0,146.0
109.0,104.0,133.0,138.0,162.0,146.0
108.0,99.0,102.0,136.0,162.0,145.0
99.0,101.0,129.0,122.0,160.0,146.0
50.0,95.0,108.0,124.0,152.0,146.0
94.0,107.0,118.0,135.0,174.0,145.0
101.0,102.0,119.0,122.0,162.0,145.0
84.0,107.0,125.0,136.0,160.0,146.0
96.0,98.0,114.0,122.0,162.0,148.0
100.0,98.0,120.0,136.0,162.0,145.0
88.0,107.0,125.0,121.0,162.0,146.0
100.0,104.0,119.0,138.0,152.0,145.0
104.0,112.0,118.0,136.0,160.0,145.0
101.0,103.0,117.0,122.0,164.0,145.0
99.0,103.0,118.0,138.0,164.0,143.0
102.0,111.0,119.0,118.0,188.0,143.0
94.0,121.0,117.0,145.0,143.0,145.0
48.0,103.0,120.0,124.0,162.0,145.0
94.0,105.0,110.0,138.0,164.0,145.0
85.0,109.0,111.0,125.0,176.0,152.0
90.0,103.0,124.0,140.0,164.0,143.0
97.0,102.0,110.0,125.0,162.0,141.0
