baseline,stage1,stage2,stage3,stage4,recovery
51.9,48.9,26.4,43.0,52.1,43.2
54.6,79.5,84.8,42.6,32.9,42.0
36.2,41.6,70.4,36.7,34.8,41.1
60.3,89.5,51.8,48.1,83.1,56.2
45.3,15.5,64.0,63.8,39.2,59.4
73.2,52.7,59.7,70.8,16.9,50.5
39.8,72.2,77.2,44.3,52.8,62.5
51.3,35.1,47.6,72.4,48.8,56.4
81.0,83.3,49.2,53.3,50.4,51.5
75.8,86.3,57.7,31.4,45.1,35.0
53.3,36.9,51.8,56.7,75.4,23.0
40.8,74.2,19.2,58.2,72.1,44.5
52.5,30.4,44.6,43.6,48.3,37.2
70.4,65.1,78.5,71.3,76.1,34.0
63.1,65.3,63.5,46.0,31.5,49.6
61.2,43.6,47.8,87.4,34.6,40.4
82.3,70.1,76.6,27.8,74.2,35.8
62.1,65.6,55.5,58.9,84.0,53.9
102.0,43.5,78.1,44.0,20.9,74.5
118.0,66.7,83.3,58.9,59.3,57.2
70.9,20.2,47.6,60.2,77.2,25.8
70.2,72.5,38.3,52.3,85.2,44.1
55.6,51.9,84.0,52.3,42.8,85.2
67.6,45.1,38.5,52.3,53.3,47.4
52.9,40.7,53.8,52.3,48.6,73.6
47.7,65.5,74.4,52.3,38.8,41.6
38.4,64.8,49.5,52.3,79.0,47.1
47.7,76.2,67.5,52.3,47.5,12.5
65.3,49.5,75.1,52.3,45.7,27.4
45.9,23.0,67.3,52.3,49.1,59.8
62.5,62.8,31.4,52.3,47.0,52.3
56.1,52.5,94.7,52.3,76.2,32.6
12.7,14.6,24.8,52.3,11.3,37.7
73.6,53.7,44.4,52.3,35.6,42.8
36.7,56.6,48.1,52.3,44.7,33.4
63.3,61.2,64.1,52.3,35.1,36.1
60.4,52.2,18.3,52.3,56.1,42.9
61.5,35.5,50.3,52.3,33.2,58.2
69.9,83.4,47.3,52.3,55.8,47.1
59.3,72.2,88.5,52.3,71.4,25.8
96.7,16.3,92.8,52.3,63.4,37.5
74.4,73.9,18.2,52.3,45.2,54.7
62.6,48.2,81.7,52.3,36.0,59.1
62.7,31.5,61.6,52.3,60.6,51.8
42.6,91.0,87.1,52.3,58.8,51.6
70.4,64.1,77.7,52.3,28.8,40.9
47.3,55.9,75.8,44.4,60.7,71.0
51.6,30.6,69.8,39.4,51.4,34.0
63.9,42.2,67.1,51.5,39.1,31.2
68.4,62.1,55.8,29.3,14.7,42.6
