baseline,stage1,stage2,stage3,stage4,recovery
71.0,63.0,23.0,70.0,12.0,58.0
208.0,188.0,144.0,169.0,96.0,209.0
340.0,303.0,261.0,268.0,180.0,282.0
478.0,413.0,377.0,373.0,264.0,356.0
615.0,527.0,489.0,466.0,348.0,429.0
757.0,647.0,612.0,561.0,428.0,648.0
899.0,773.0,733.0,665.0,512.0,721.0
1035.0,884.0,843.0,758.0,600.0,941.0
1189.0,999.0,958.0,864.0,678.0,1161.0
1350.0,1111.0,1081.0,968.0,762.0,1234.0
1491.0,1231.0,1290.0,1062.0,845.0,1307.0
1794.0,1359.0,1404.0,1168.0,921.0,1376.0
1945.0,1481.0,1520.0,1267.0,1008.0,1454.0
2081.0,1602.0,1628.0,1358.0,1090.0,1528.0
2218.0,1729.0,1733.0,1460.0,1172.0,1602.0
2359.0,1848.0,1835.0,1559.0,1252.0,1675.0
2505.0,1969.0,1944.0,1658.0,1338.0,1749.0
2649.0,2087.0,2052.0,1756.0,1414.0,1824.0
2785.0,2217.0,2161.0,1856.0,1500.0,1897.0
2923.0,2344.0,2256.0,1951.0,1574.0,1972.0
3056.0,2466.0,2366.0,2043.0,1658.0,2046.0
3193.0,2591.0,2490.0,2144.0,1738.0,2121.0
3322.0,2724.0,2600.0,2234.0,1812.0,2196.0
3461.0,2847.0,2700.0,2334.0,1891.0,2416.0
3598.0,2971.0,2810.0,2423.0,1969.0,2497.0
3725.0,3100.0,2919.0,2523.0,2048.0,2648.0
3861.0,3218.0,3028.0,2621.0,2131.0,2724.0
3995.0,3343.0,3240.0,2709.0,2209.0,2794.0
4121.0,3459.0,3350.0,2805.0,2284.0,2871.0
4254.0,3587.0,3464.0,2894.0,2358.0,2947.0
4387.0,3711.0,3569.0,2981.0,2435.0,3177.0
4521.0,3840.0,3677.0,3078.0,2512.0,3252.0
4639.0,3962.0,3785.0,3165.0,2594.0,3327.0
4768.0,4093.0,3894.0,3261.0,2670.0,3403.0
4887.0,4216.0,3997.0,3349.0,2742.0,3479.0
5007.0,4343.0,4210.0,3445.0,2817.0,3555.0
5135.0,4471.0,4332.0,3533.0,2893.0,3625.0
5265.0,4590.0,4448.0,3630.0,2975.0,3701.0
5394.0,4715.0,4664.0,3717.0,3049.0,4078.0
5519.0,4837.0,4767.0,3814.0,3120.0,4153.0
5664.0,4963.0,4877.0,3902.0,3201.0,4229.0
5795.0,5083.0,4988.0,4088.0,3275.0,4304.0
5940.0,5210.0,5096.0,4186.0,3350.0,4385.0
6075.0,5340.0,5212.0,4275.0,3420.0,4536.0
6216.0,5472.0,5312.0,4373.0,3495.0,4612.0
6356.0,5591.0,5417.0,4465.0,3569.0,4690.0
6493.0,5843.0,5532.0,4560.0,3649.0,4767.0
6615.0,5961.0,5649.0,4652.0,3723.0,4919.0
6761.0,6050.0,5759.0,4745.0,3797.0,5002.0
6890.0,6194.0,5860.0,4841.0,3866.0,5082.0
7025.0,6327.0,5973.0,4930.0,3940.0,5161.0
7156.0,6443.0,6084.0,5023.0,4014.0,5235.0
7291.0,6563.0,6193.0,5116.0,4088.0,5314.0
7417.0,6679.0,6302.0,5217.0,4162.0,5398.0
7558.0,6805.0,6405.0,5303.0,4235.0,5477.0
7685.0,6930.0,6520.0,5404.0,4309.0,5556.0
7822.0,7050.0,6635.0,5491.0,4382.0,5635.0
7954.0,7181.0,6739.0,5584.0,4456.0,5714.0
8209.0,7312.0,6853.0,5679.0,4525.0,6336.0
8334.0,7443.0,6959.0,5774.0,4604.0,6414.0
8467.0,7576.0,7072.0,5869.0,4677.0,6655.0
8590.0,7832.0,7183.0,5964.0,4756.0,6735.0
8842.0,7964.0,7293.0,6058.0,4824.0,6814.0
8965.0,8219.0,7400.0,6153.0,4893.0,6893.0
9219.0,8339.0,7517.0,6243.0,4976.0,6973.0
9341.0,8464.0,7637.0,6344.0,5049.0,7053.0
9473.0,8815.0,7746.0,6429.0,5123.0,7127.0
9596.0,8938.0,7860.0,6530.0,5191.0,7208.0
9728.0,9056.0,7974.0,6623.0,5268.0,7288.0
9985.0,9178.0,8091.0,6717.0,5337.0,7369.0
10107.0,9301.0,8313.0,6809.0,5416.0,7455.0
10240.0,9419.0,8435.0,6897.0,5490.0,7531.0
10364.0,9547.0,8544.0,6996.0,5559.0,7618.0
10491.0,9674.0,8658.0,7084.0,5633.0,7701.0
10644.0,9795.0,8777.0,7174.0,5707.0,7778.0
10742.0,9926.0,8879.0,7271.0,5780.0,7862.0
10865.0,10066.0,8982.0,7371.0,5854.0,8034.0
10984.0,10189.0,9094.0,7460.0,5928.0,8118.0
11118.0,10316.0,9301.0,7560.0,6002.0,8200.0
11236.0,10439.0,9416.0,7649.0,6081.0,8283.0
11355.0,10569.0,9517.0,7749.0,6150.0,8364.0
11480.0,10816.0,9621.0,7826.0,6229.0,8448.0
11609.0,10925.0,9728.0,7937.0,6303.0,8607.0
11726.0,11055.0,9836.0,8025.0,6377.0,8694.0
11849.0,11169.0,9947.0,8123.0,6450.0,8776.0
11968.0,11293.0,10047.0,8211.0,6524.0,8857.0
12098.0,11417.0,10148.0,8310.0,6597.0,8939.0
12227.0,11534.0,10259.0,8397.0,6667.0,9017.0
12354.0,11656.0,10569.0,8486.0,6740.0,9099.0
12472.0,11780.0,10678.0,8582.0,6819.0,9182.0
12598.0,11899.0,10789.0,8679.0,6888.0,9264.0
12727.0,12012.0,10990.0,8766.0,6967.0,9346.0
12843.0,12129.0,11098.0,8864.0,7035.0,9433.0
12962.0,12244.0,11203.0,8952.0,7115.0,9509.0
13069.0,12361.0,11309.0,9050.0,7183.0,9591.0
13198.0,12471.0,11414.0,9137.0,7257.0,9672.0
13307.0,12588.0,11517.0,9234.0,7336.0,9758.0
13421.0,12704.0,11622.0,9321.0,7409.0,9839.0
13530.0,12820.0,11724.0,9420.0,7483.0,9920.0
13646.0,12942.0,11833.0,9508.0,7558.0,10001.0
13751.0,13056.0,11943.0,9606.0,7627.0,10083.0
13861.0,13171.0,12033.0,9693.0,7701.0,10165.0
13972.0,13292.0,12151.0,9781.0,7775.0,10248.0
14093.0,13411.0,12244.0,9879.0,7850.0,10330.0
14332.0,13537.0,12355.0,9976.0,7929.0,10412.0
14459.0,13649.0,12457.0,10065.0,7998.0,10495.0
14578.0,13767.0,12558.0,10163.0,8072.0,10578.0
14721.0,13879.0,12654.0,10251.0,8147.0,10660.0
14846.0,14001.0,12759.0,10349.0,8221.0,10741.0
14966.0,14124.0,12859.0,10437.0,8295.0,10824.0
15102.0,14236.0,12955.0,10536.0,8369.0,10906.0
15222.0,14351.0,13056.0,10623.0,8448.0,10989.0
15337.0,14458.0,13158.0,10711.0,8523.0,11072.0
15456.0,14574.0,13261.0,10809.0,8596.0,11155.0
15577.0,14690.0,13363.0,10896.0,8669.0,11239.0
15695.0,14798.0,13464.0,10998.0,8733.0,11323.0
15822.0,14897.0,13567.0,11081.0,8817.0,11406.0
16070.0,15013.0,13667.0,11178.0,8891.0,11489.0
16197.0,15127.0,13776.0,11265.0,8964.0,11572.0
16339.0,15237.0,13884.0,11361.0,9032.0,11651.0
16472.0,15353.0,13981.0,11447.0,9105.0,11735.0
16596.0,15471.0,14090.0,11543.0,9179.0,11820.0
16730.0,15578.0,14190.0,11630.0,9252.0,11905.0
16861.0,15690.0,14299.0,11726.0,9326.0,11995.0
17005.0,15799.0,14396.0,11812.0,9404.0,12080.0
17126.0,15905.0,14502.0,11907.0,9472.0,12165.0
17245.0,16003.0,14602.0,11999.0,9545.0,12250.0
17376.0,16118.0,14701.0,12088.0,9618.0,12335.0
17508.0,16230.0,14798.0,12185.0,9696.0,12421.0
17767.0,16321.0,14905.0,12268.0,9769.0,12501.0
17891.0,16440.0,15005.0,12358.0,9842.0,12587.0
18150.0,16546.0,15110.0,12448.0,9904.0,12672.0
18271.0,16651.0,15216.0,12537.0,9982.0,12758.0
18392.0,16763.0,15321.0,12627.0,10060.0,12843.0
18526.0,16873.0,15430.0,12716.0,10127.0,12929.0
18653.0,16989.0,15633.0,12801.0,10199.0,13014.0
18910.0,17093.0,15733.0,12894.0,10272.0,13106.0
19044.0,17217.0,15831.0,12988.0,10344.0,13191.0
19189.0,17332.0,15939.0,13071.0,10417.0,13276.0
19297.0,17447.0,16035.0,13166.0,10489.0,13362.0
19426.0,17571.0,16141.0,13248.0,10561.0,13448.0
19545.0,17689.0,16247.0,13342.0,10634.0,13529.0
19803.0,17809.0,16343.0,13425.0,10706.0,13614.0
19923.0,17923.0,16451.0,13517.0,10784.0,13701.0
20050.0,18045.0,16547.0,13600.0,10856.0,13787.0
20192.0,18169.0,16656.0,13692.0,10929.0,13874.0
20311.0,18280.0,16752.0,13774.0,10996.0,13960.0
20435.0,18395.0,16862.0,13862.0,11069.0,14047.0
20564.0,18510.0,16966.0,13947.0,11141.0,14134.0
20697.0,18628.0,17063.0,14042.0,11214.0,14221.0
20829.0,18861.0,17169.0,14120.0,11286.0,14308.0
20960.0,18973.0,17272.0,14206.0,11358.0,14396.0
21092.0,19082.0,17375.0,14297.0,11436.0,14483.0
21240.0,19206.0,17479.0,14383.0,11509.0,14571.0
21366.0,19346.0,17683.0,14471.0,11581.0,14659.0
21498.0,19443.0,17784.0,14553.0,11653.0,14746.0
21637.0,19568.0,17887.0,14645.0,11725.0,14833.0
21767.0,19683.0,17988.0,14727.0,11798.0,14926.0
21898.0,19805.0,18089.0,14818.0,11869.0,15013.0
21983.0,19931.0,18188.0,14900.0,11941.0,15100.0
22170.0,20045.0,18389.0,14982.0,12008.0,15188.0
22299.0,20131.0,18492.0,15072.0,12084.0,15277.0
22418.0,20267.0,18589.0,15160.0,12151.0,15364.0
22551.0,20389.0,18790.0,15243.0,12227.0,15452.0
22684.0,20518.0,18897.0,15329.0,12299.0,15542.0
22813.0,20618.0,19093.0,15415.0,12366.0,15630.0
22940.0,20723.0,19221.0,15500.0,12438.0,15714.0
23071.0,20830.0,19305.0,15589.0,12510.0,15803.0
23198.0,21039.0,19413.0,15670.0,12586.0,15892.0
23335.0,21252.0,19515.0,15760.0,12658.0,15980.0
23471.0,21368.0,19616.0,15839.0,12725.0,16068.0
23612.0,21481.0,19717.0,15928.0,12796.0,16156.0
23753.0,21597.0,19818.0,16008.0,12868.0,16243.0
23885.0,21709.0,19914.0,16087.0,12944.0,16331.0
24021.0,21815.0,20009.0,16177.0,13016.0,16418.0
24154.0,21929.0,20113.0,16258.0,13087.0,16506.0
24277.0,22049.0,20213.0,16342.0,13159.0,16594.0
24407.0,22165.0,20314.0,16426.0,13230.0,16682.0
24535.0,22392.0,20413.0,16510.0,13296.0,16770.0
24664.0,22503.0,20613.0,16598.0,13367.0,16864.0
24792.0,22627.0,20714.0,16682.0,13438.0,16954.0
24914.0,22748.0,20799.0,16760.0,13510.0,17043.0
25049.0,22862.0,20924.0,16849.0,13581.0,17128.0
25194.0,22981.0,21015.0,16928.0,13652.0,17219.0
25327.0,23089.0,21111.0,17007.0,13729.0,17310.0
25492.0,23211.0,21217.0,17095.0,13800.0,17400.0
25608.0,23319.0,21418.0,17182.0,13871.0,17489.0
25752.0,23427.0,21524.0,17263.0,13942.0,17578.0
25874.0,23527.0,21619.0,17346.0,14008.0,17667.0
26009.0,23647.0,21724.0,17430.0,14079.0,17761.0
26144.0,23769.0,21809.0,17514.0,14151.0,17849.0
26279.0,23879.0,21922.0,17593.0,14227.0,17937.0
26412.0,23995.0,22007.0,17681.0,14298.0,18026.0
26540.0,24110.0,22121.0,17760.0,14364.0,18110.0
26663.0,24238.0,22216.0,17848.0,14435.0,18205.0
26797.0,24353.0,22319.0,17927.0,14511.0,18289.0
26937.0,24473.0,22414.0,18014.0,14582.0,18379.0
27070.0,24593.0,22510.0,18094.0,14654.0,18469.0
27209.0,24706.0,22610.0,18181.0,14719.0,18559.0
27338.0,24824.0,22706.0,18264.0,14790.0,18651.0
27467.0,24940.0,22804.0,18347.0,14866.0,18742.0
27602.0,25046.0,22902.0,18430.0,14932.0,18834.0
27729.0,25156.0,23002.0,18518.0,15002.0,18926.0
27864.0,25265.0,23095.0,18600.0,15073.0,19018.0
27995.0,25374.0,23203.0,18684.0,15144.0,19110.0
28118.0,25478.0,23295.0,18762.0,15214.0,19202.0
28251.0,25586.0,23400.0,18851.0,15285.0,19295.0
28384.0,25717.0,23504.0,18928.0,15355.0,19387.0
28506.0,25825.0,23609.0,19007.0,15431.0,19479.0
28632.0,25938.0,23714.0,19094.0,15500.0,19570.0
28759.0,26060.0,23814.0,19177.0,15570.0,19662.0
28881.0,26182.0,23924.0,19260.0,15636.0,19752.0
29004.0,26295.0,24050.0,19431.0,15711.0,19848.0
29133.0,26411.0,24144.0,19509.0,15781.0,19937.0
29250.0,26528.0,24243.0,19598.0,15845.0,20022.0
29370.0,26650.0,24354.0,19677.0,15920.0,20112.0
29513.0,26761.0,24461.0,19755.0,15990.0,20202.0
29619.0,26876.0,24572.0,19843.0,16061.0,20292.0
29744.0,26990.0,24674.0,19927.0,16129.0,20383.0
29878.0,27115.0,24785.0,20011.0,16194.0,20473.0
29998.0,27235.0,24887.0,20095.0,16269.0,20565.0
30127.0,27347.0,25012.0,20178.0,16332.0,20657.0
30262.0,27463.0,25104.0,20262.0,16402.0,20750.0
30388.0,27573.0,25200.0,20351.0,16471.0,20843.0
30453.0,27683.0,25308.0,20430.0,16541.0,20937.0
30517.0,27811.0,25413.0,20598.0,16610.0,21031.0
30639.0,27921.0,25519.0,20678.0,16685.0,21124.0
30763.0,28147.0,25620.0,20766.0,16754.0,21216.0
30887.0,28258.0,25718.0,20849.0,16824.0,21308.0
31018.0,28378.0,25826.0,20933.0,16894.0,21401.0
