baseline,stage1,stage2,stage3,stage4,recovery,stage5
79.4,54.9,66.5,66.9,67.2,50.4,59.8
102.0,67.8,66.2,76.1,70.9,46.9,52.0
82.9,81.8,76.6,63.5,59.3,67.9,80.1
60.4,80.8,52.8,61.8,64.2,69.2,33.9
52.0,63.9,68.1,63.3,53.5,62.2,48.3
77.2,64.3,27.1,66.7,83.5,52.8,62.6
57.7,101.0,71.7,56.3,77.9,49.6,69.1
61.1,68.9,47.5,58.8,53.9,52.9,72.4
43.7,66.3,50.4,50.0,72.7,49.7,67.5
93.0,82.2,79.1,66.3,41.4,63.4,42.7
63.0,111.0,47.9,34.4,81.5,68.4,78.5
73.6,72.3,74.2,46.8,38.8,47.9,94.7
66.7,84.3,104.0,77.5,79.1,47.3,49.6
73.2,35.6,72.8,67.6,68.9,32.8,71.0
69.1,47.7,60.4,70.7,62.6,49.6,45.1
86.4,87.1,86.5,83.3,55.2,67.5,64.6
38.2,61.1,52.8,56.7,58.9,51.8,74.4
81.2,70.7,68.1,83.2,66.7,46.4,61.0
75.4,91.3,68.7,65.2,62.3,62.3,89.6
72.1,74.3,56.9,79.5,92.8,52.1,48.6
64.1,93.0,99.0,77.8,67.0,49.0,70.8
88.6,97.3,75.9,54.8,68.6,55.6,68.1
65.6,49.8,62.0,51.5,93.4,54.7,75.6
82.0,75.7,65.8,69.0,57.9,56.7,67.3
50.7,90.6,58.1,48.4,71.1,63.5,72.7
80.0,70.5,40.3,53.1,64.8,65.2,108.0
58.2,38.8,66.8,73.4,77.5,60.8,39.5
51.0,77.2,49.6,87.2,69.9,68.1,81.0
108.0,60.9,68.9,36.5,68.6,29.2,54.5
60.9,50.1,79.7,89.7,52.7,60.2,56.2
60.3,65.2,79.3,72.2,55.4,48.5,57.2
110.0,50.9,82.4,77.0,61.2,66.7,43.2
76.5,63.6,95.8,72.2,85.4,53.8,48.0
65.0,89.6,64.3,51.6,49.4,65.5,73.5
85.6,78.3,81.2,101.0,82.1,52.8,68.0
55.8,52.6,57.8,36.3,41.1,56.1,35.2
62.1,96.4,43.8,65.3,69.6,61.0,72.9
56.3,72.1,89.2,59.4,71.3,68.3,86.6
58.5,79.1,30.7,54.3,87.4,65.2,53.7
58.2,109.0,72.8,74.4,43.7,67.2,71.0
52.6,58.1,63.5,66.3,71.0,69.1,41.0
37.3,62.1,72.6,77.8,80.9,50.7,80.4
80.7,56.3,77.9,56.7,92.3,50.8,77.4
78.7,60.5,69.8,43.1,84.2,61.1,41.1
50.7,47.9,82.6,67.7,94.4,63.9,34.0
63.9,38.4,124.0,69.6,62.5,61.9,73.4
59.8,45.1,78.0,56.2,67.4,65.6,86.3
80.8,88.1,72.4,78.1,63.7,61.9,105.0
73.4,96.8,64.5,46.5,64.8,43.9,44.4
91.7,71.2,64.3,82.5,46.4,61.1,86.4
67.3,64.0,54.2,79.8,74.0,73.0,21.5
72.8,62.4,61.2,50.9,58.9,48.8,84.6
109.0,95.8,72.6,67.6,76.1,21.0,57.7
56.7,70.5,68.6,70.2,60.5,76.0,57.0
45.0,83.5,76.4,52.5,97.4,54.2,53.9
52.9,66.0,98.4,67.2,68.8,34.2,37.5
59.7,56.7,82.4,69.1,65.2,60.3,54.6
83.5,82.5,60.3,55.5,71.1,58.1,59.9
76.5,56.2,55.7,55.8,60.9,54.3,51.1
41.6,55.1,51.9,70.4,82.1,53.8,34.2
64.6,82.5,78.1,65.6,58.3,48.7,76.4
98.3,74.0,45.9,55.9,65.4,20.9,25.3
71.7,57.6,72.3,48.7,74.9,51.7,74.8
62.8,46.2,53.0,54.9,87.7,44.1,36.4
86.9,73.3,91.7,46.4,77.4,44.4,49.8
57.3,89.9,71.8,51.9,74.2,57.1,62.8
81.0,77.9,40.7,82.1,72.0,72.7,35.4
73.1,70.9,41.3,55.5,80.4,64.7,48.2
48.8,50.8,60.4,70.8,73.6,58.9,55.7
48.1,88.0,66.2,61.7,77.0,49.7,51.1
68.8,74.6,89.7,88.7,71.6,56.8,55.1
48.2,49.5,70.4,66.9,78.3,50.2,38.9
68.4,72.0,59.7,84.0,68.1,61.2,73.8
72.6,76.9,71.1,70.8,59.4,71.5,21.0
77.4,51.7,64.7,67.3,74.3,58.4,76.0
69.7,78.0,63.5,57.8,78.0,42.7,87.6
68.0,55.1,62.5,56.6,64.4,65.7,44.8
52.1,63.4,64.1,95.2,61.8,59.0,69.8
103.0,83.8,72.5,67.6,60.3,44.5,19.3
60.6,86.0,49.5,69.9,53.3,58.2,65.6
61.2,43.0,59.1,64.6,33.8,49.3,47.0
70.7,75.7,64.6,80.4,50.1,51.0,34.9
61.3,69.7,111.0,70.3,74.9,63.9,27.2
90.6,71.8,51.5,74.8,38.2,65.6,32.4
98.7,59.1,69.3,75.2,76.7,57.0,38.6
61.3,84.7,62.6,61.6,55.5,63.0,65.6
82.6,63.8,60.4,61.9,79.0,60.1,25.0
58.4,73.2,102.0,44.3,56.9,60.6,76.8
91.9,68.5,67.5,69.6,68.0,46.9,59.7
86.5,77.0,32.8,105.0,79.5,45.4,59.4
74.1,61.5,63.9,82.7,84.4,61.8,70.2
64.1,75.5,59.5,62.1,64.8,65.6,37.8
67.5,55.9,44.0,65.2,87.8,67.3,66.5
72.7,42.1,63.3,82.9,59.6,66.6,63.9
61.0,59.7,96.5,59.0,85.6,60.5,55.0
77.4,69.3,94.0,70.5,63.9,68.5,54.0
87.7,70.0,58.4,58.6,67.8,58.0,56.6
73.8,60.3,90.4,67.3,74.5,66.0,40.6
69.5,78.1,89.3,84.9,71.4,59.5,45.0
56.6,49.0,41.0,41.8,70.7,63.7,22.1
67.8,57.6,64.1,83.4,73.6,49.1,50.9
70.9,43.6,53.4,63.7,84.9,51.3,60.4
64.9,58.1,59.9,66.7,78.4,57.5,41.3
78.1,71.1,65.1,70.7,64.0,57.3,68.3
54.3,53.6,98.8,73.4,58.9,60.1,40.0
77.1,66.2,57.2,53.8,68.4,58.4,84.1
68.0,99.2,60.2,76.9,66.7,63.1,61.7
50.4,68.3,46.9,73.5,61.7,56.9,56.8
75.6,96.5,49.5,55.3,58.6,45.1,55.4
99.0,61.2,60.4,54.4,51.7,43.7,65.7
78.5,80.8,55.2,52.2,76.3,59.9,55.0
70.2,98.6,61.5,55.0,61.4,46.9,45.4
76.9,64.9,85.8,51.1,40.7,49.3,42.0
64.4,66.3,91.2,94.5,71.1,74.7,43.9
84.3,80.5,71.1,45.8,37.2,50.3,72.9
61.9,74.8,45.4,76.4,79.7,53.9,51.7
50.9,41.8,51.8,69.3,41.7,55.2,61.4
83.5,44.3,92.5,81.1,87.9,58.9,36.9
71.0,71.9,71.6,60.0,49.1,38.0,48.6
59.6,77.9,65.0,63.5,95.3,54.5,55.2
77.2,68.3,37.7,67.3,73.2,67.1,25.6
70.4,63.1,36.1,56.9,66.6,17.9,51.0
95.9,70.6,73.0,52.0,49.5,58.2,52.0
53.0,49.2,60.2,51.6,54.8,65.4,35.3
90.8,64.7,68.6,82.0,49.3,80.9,66.7
52.6,58.7,71.4,47.4,58.8,68.5,44.8
44.1,81.0,29.8,69.3,59.7,63.3,58.8
57.8,71.3,68.9,61.9,49.4,53.5,41.8
87.8,52.7,57.5,57.2,65.7,72.6,39.0
46.4,73.4,60.3,62.4,47.4,148.0,48.9
82.9,80.6,92.3,64.4,64.7,47.0,62.4
86.0,70.5,56.5,64.9,82.5,107.0,61.3
78.5,66.0,43.0,76.4,31.4,91.6,35.7
65.5,76.6,57.8,85.3,25.6,40.1,44.1
104.0,95.6,48.4,82.8,40.6,42.6,51.5
70.6,58.0,45.7,69.9,37.5,70.1,57.6
59.5,43.2,43.2,86.4,75.9,74.7,41.9
66.6,85.8,64.1,80.8,62.2,47.3,31.7
56.4,65.6,71.5,59.8,70.1,85.1,77.5
68.8,65.2,55.8,74.5,45.6,105.0,49.1
76.3,50.2,67.1,64.1,54.5,59.3,34.3
68.5,70.0,58.8,67.3,60.2,68.5,54.1
73.5,46.8,81.9,68.8,57.1,64.8,43.9
78.6,80.8,36.6,79.0,57.7,62.3,28.2
62.9,71.5,34.7,88.1,69.5,58.6,48.2
75.8,69.5,92.2,56.8,74.1,44.9,51.5
76.3,75.7,21.8,81.8,71.2,40.4,69.4
63.9,50.1,68.3,84.4,69.9,36.9,55.4
58.6,60.4,83.3,41.3,67.2,57.0,72.5
