baseline,stage1,stage2,stage3,stage4,recovery,stage5
38.0,3.0,64.0,46.0,41.0,3.0,78.0
172.0,125.0,184.0,163.0,135.0,73.0,160.0
302.0,238.0,303.0,262.0,241.0,143.0,243.0
432.0,357.0,420.0,380.0,340.0,214.0,325.0
571.0,482.0,537.0,495.0,439.0,286.0,409.0
711.0,607.0,657.0,610.0,537.0,357.0,492.0
846.0,737.0,783.0,723.0,635.0,428.0,577.0
975.0,877.0,905.0,835.0,732.0,499.0,661.0
1109.0,1000.0,1027.0,946.0,829.0,570.0,745.0
1252.0,1129.0,1151.0,1064.0,926.0,641.0,830.0
1377.0,1256.0,1279.0,1162.0,1023.0,713.0,914.0
1505.0,1398.0,1403.0,1278.0,1124.0,785.0,998.0
1625.0,1525.0,1524.0,1381.0,1218.0,857.0,1081.0
1759.0,1655.0,1645.0,1496.0,1315.0,929.0,1164.0
1888.0,1772.0,1769.0,1604.0,1413.0,1001.0,1247.0
2007.0,1895.0,1892.0,1712.0,1511.0,1072.0,1330.0
2135.0,2019.0,2016.0,1819.0,1608.0,1144.0,1413.0
2257.0,2131.0,2128.0,1928.0,1704.0,1216.0,1495.0
2373.0,2250.0,2245.0,2041.0,1800.0,1288.0,1576.0
2506.0,2378.0,2363.0,2158.0,1900.0,1360.0,1656.0
2631.0,2493.0,2479.0,2263.0,1990.0,1431.0,1737.0
2746.0,2613.0,2595.0,2373.0,2084.0,1502.0,1817.0
2883.0,2738.0,2713.0,2484.0,2178.0,1574.0,1896.0
3016.0,2856.0,2834.0,2596.0,2271.0,1646.0,1976.0
3154.0,2984.0,2959.0,2706.0,2364.0,1717.0,2054.0
3295.0,3101.0,3080.0,2816.0,2458.0,1789.0,2133.0
3417.0,3226.0,3199.0,2923.0,2551.0,1862.0,2211.0
3547.0,3346.0,3325.0,3030.0,2644.0,1934.0,2290.0
3683.0,3462.0,3442.0,3137.0,2737.0,2007.0,2368.0
3808.0,3596.0,3562.0,3241.0,2829.0,2080.0,2445.0
3935.0,3716.0,3680.0,3345.0,2922.0,2153.0,2523.0
4056.0,3840.0,3798.0,3448.0,3015.0,2226.0,2601.0
4188.0,3955.0,3917.0,3552.0,3108.0,2300.0,2678.0
4317.0,4079.0,4035.0,3649.0,3200.0,2374.0,2754.0
4435.0,4207.0,4152.0,3759.0,3292.0,2447.0,2831.0
4562.0,4331.0,4259.0,3868.0,3383.0,2522.0,2908.0
4683.0,4452.0,4386.0,3967.0,3475.0,2596.0,2984.0
4814.0,4584.0,4507.0,4074.0,3567.0,2670.0,3059.0
4936.0,4709.0,4626.0,4184.0,3659.0,2745.0,3135.0
5063.0,4836.0,4742.0,4294.0,3750.0,2820.0,3211.0
5194.0,4953.0,4859.0,4401.0,3842.0,2895.0,3286.0
5321.0,5084.0,4976.0,4508.0,3932.0,2971.0,3361.0
5458.0,5213.0,5095.0,4615.0,4024.0,3047.0,3435.0
5585.0,5335.0,5210.0,4723.0,4116.0,3122.0,3509.0
5722.0,5465.0,5330.0,4825.0,4208.0,3198.0,3583.0
5846.0,5586.0,5440.0,4941.0,4300.0,3274.0,3656.0
5961.0,5715.0,5557.0,5047.0,4391.0,3350.0,3730.0
6097.0,5834.0,5677.0,5150.0,4483.0,3426.0,3803.0
6224.0,5958.0,5794.0,5248.0,4575.0,3502.0,3876.0
6342.0,6072.0,5909.0,5352.0,4671.0,3578.0,3949.0
6468.0,6197.0,6026.0,5456.0,4756.0,3655.0,4022.0
6595.0,6320.0,6145.0,5559.0,4847.0,3731.0,4094.0
6716.0,6451.0,6265.0,5662.0,4937.0,3806.0,4167.0
6846.0,6569.0,6382.0,5771.0,5028.0,3882.0,4239.0
6967.0,6690.0,6498.0,5875.0,5119.0,3958.0,4312.0
7093.0,6820.0,6615.0,5980.0,5210.0,4033.0,4384.0
7210.0,6941.0,6734.0,6103.0,5300.0,4109.0,4457.0
7336.0,7067.0,6844.0,6208.0,5390.0,4184.0,4529.0
7464.0,7185.0,6963.0,6319.0,5481.0,4259.0,4602.0
7580.0,7315.0,7077.0,6429.0,5573.0,4334.0,4674.0
7709.0,7443.0,7191.0,6540.0,5664.0,4409.0,4747.0
7841.0,7569.0,7306.0,6648.0,5759.0,4484.0,4819.0
7980.0,7695.0,7420.0,6754.0,5844.0,4560.0,4892.0
8108.0,7809.0,7533.0,6860.0,5934.0,4636.0,4965.0
8244.0,7927.0,7651.0,6967.0,6024.0,4711.0,5037.0
8375.0,8059.0,7771.0,7074.0,6115.0,4787.0,5110.0
8506.0,8181.0,7892.0,7181.0,6205.0,4864.0,5182.0
8637.0,8296.0,8011.0,7287.0,6295.0,4941.0,5254.0
8755.0,8421.0,8137.0,7391.0,6386.0,5018.0,5326.0
8883.0,8544.0,8253.0,7496.0,6477.0,5095.0,5398.0
9016.0,8667.0,8375.0,7600.0,6568.0,5172.0,5470.0
9136.0,8788.0,8497.0,7704.0,6660.0,5248.0,5541.0
9259.0,8910.0,8608.0,7807.0,6750.0,5325.0,5613.0
9390.0,9030.0,8724.0,7910.0,6840.0,5402.0,5685.0
9510.0,9154.0,8838.0,8016.0,6931.0,5478.0,5756.0
9638.0,9296.0,8950.0,8123.0,7021.0,5555.0,5828.0
9768.0,9418.0,9065.0,8230.0,7112.0,5632.0,5899.0
9891.0,9542.0,9171.0,8329.0,7202.0,5708.0,5970.0
10023.0,9665.0,9283.0,8440.0,7297.0,5784.0,6042.0
10165.0,9786.0,9398.0,8547.0,7374.0,5861.0,6113.0
10293.0,9905.0,9514.0,8655.0,7471.0,5938.0,6185.0
10433.0,10024.0,9632.0,8760.0,7561.0,6014.0,6255.0
10567.0,10135.0,9760.0,8865.0,7651.0,6091.0,6327.0
10687.0,10263.0,9893.0,8968.0,7740.0,6167.0,6398.0
10815.0,10380.0,10018.0,9073.0,7829.0,6244.0,6469.0
10948.0,10489.0,10147.0,9177.0,7918.0,6320.0,6541.0
11068.0,10616.0,10269.0,9280.0,8008.0,6397.0,6612.0
11194.0,10739.0,10397.0,9382.0,8096.0,6474.0,6682.0
11323.0,10857.0,10520.0,9485.0,8185.0,6552.0,6754.0
11437.0,10983.0,10638.0,9588.0,8274.0,6631.0,6825.0
11559.0,11105.0,10754.0,9692.0,8363.0,6710.0,6896.0
11687.0,11232.0,10871.0,9796.0,8453.0,6788.0,6966.0
11807.0,11344.0,10987.0,9892.0,8544.0,6867.0,7037.0
11936.0,11456.0,11096.0,10001.0,8634.0,6946.0,7108.0
12068.0,11561.0,11216.0,10104.0,8724.0,7025.0,7179.0
12193.0,11678.0,11333.0,10208.0,8814.0,7104.0,7249.0
12334.0,11786.0,11455.0,10310.0,8904.0,7183.0,7320.0
12463.0,11907.0,11579.0,10413.0,8994.0,7262.0,7390.0
12598.0,12022.0,11704.0,10515.0,9083.0,7341.0,7461.0
12724.0,12140.0,11831.0,10618.0,9172.0,7421.0,7531.0
12845.0,12245.0,11954.0,10722.0,9261.0,7501.0,7601.0
12979.0,12364.0,12075.0,10831.0,9349.0,7581.0,7672.0
13106.0,12477.0,12193.0,10921.0,9437.0,7661.0,7741.0
13226.0,12596.0,12307.0,11023.0,9525.0,7742.0,7811.0
13355.0,12709.0,12422.0,11130.0,9612.0,7824.0,7882.0
13476.0,12835.0,12530.0,11240.0,9699.0,7906.0,7951.0
13591.0,12962.0,12650.0,11343.0,9786.0,7988.0,8021.0
13721.0,13095.0,12763.0,11446.0,9873.0,8071.0,8091.0
13850.0,13214.0,12875.0,11549.0,9961.0,8153.0,8160.0
13976.0,13335.0,12987.0,11653.0,10048.0,8237.0,8229.0
14112.0,13448.0,13101.0,11758.0,10135.0,8320.0,8299.0
14251.0,13580.0,13216.0,11862.0,10222.0,8402.0,8369.0
14398.0,13700.0,13332.0,11967.0,10309.0,8484.0,8438.0
14533.0,13823.0,13448.0,12070.0,10396.0,8565.0,8507.0
14660.0,13936.0,13563.0,12174.0,10483.0,8646.0,8576.0
14786.0,14057.0,13669.0,12277.0,10571.0,8726.0,8645.0
14908.0,14172.0,13789.0,12380.0,10659.0,8805.0,8714.0
15042.0,14294.0,13904.0,12481.0,10746.0,8883.0,8783.0
15167.0,14411.0,14023.0,12583.0,10835.0,8962.0,8851.0
15287.0,14534.0,14131.0,12680.0,10923.0,9040.0,8920.0
15410.0,14662.0,14243.0,12784.0,11011.0,9119.0,8988.0
15528.0,14786.0,14357.0,12888.0,11099.0,9198.0,9057.0
15666.0,14900.0,14472.0,12989.0,11187.0,9277.0,9126.0
15791.0,15029.0,14580.0,13101.0,11275.0,9357.0,9194.0
15915.0,15153.0,14701.0,13201.0,11363.0,9437.0,9262.0
16061.0,15277.0,14814.0,13297.0,11450.0,9518.0,9330.0
16207.0,15396.0,14930.0,13399.0,11542.0,9598.0,9399.0
16351.0,15514.0,15047.0,13505.0,11624.0,9679.0,9467.0
16475.0,15626.0,15161.0,13609.0,11710.0,9759.0,9536.0
16611.0,15752.0,15274.0,13714.0,11796.0,9839.0,9604.0
16743.0,15869.0,15387.0,13813.0,11881.0,9919.0,9672.0
16867.0,15984.0,15494.0,13920.0,11967.0,10000.0,9740.0
16995.0,16100.0,15612.0,14026.0,12053.0,10080.0,9808.0
17115.0,16214.0,15723.0,14143.0,12138.0,10160.0,9876.0
17244.0,16343.0,15832.0,14235.0,12224.0,10240.0,9945.0
17361.0,16465.0,15940.0,14346.0,12310.0,10321.0,10013.0
17482.0,16580.0,16040.0,14451.0,12396.0,10401.0,10081.0
17614.0,16714.0,16157.0,14555.0,12482.0,10481.0,10149.0
17746.0,16847.0,16271.0,14660.0,12568.0,10562.0,10217.0
17896.0,16977.0,16374.0,14764.0,12654.0,10642.0,10285.0
18035.0,17093.0,16483.0,14869.0,12739.0,10722.0,10353.0
18172.0,17213.0,16594.0,14977.0,12825.0,10803.0,10421.0
18295.0,17328.0,16703.0,15087.0,12910.0,10884.0,10489.0
18428.0,17452.0,16810.0,15197.0,12994.0,10965.0,10557.0
18562.0,17568.0,16916.0,15306.0,13079.0,11046.0,10624.0
18679.0,17676.0,17024.0,15414.0,13164.0,11128.0,10692.0
18800.0,17798.0,17132.0,15523.0,13248.0,11210.0,10761.0
18929.0,17916.0,17239.0,15631.0,13333.0,11292.0,10829.0
19046.0,18037.0,17349.0,15738.0,13418.0,11374.0,10896.0
19171.0,18156.0,17460.0,15845.0,13502.0,11455.0,10964.0
19303.0,18283.0,17570.0,15951.0,13587.0,11537.0,11032.0
19420.0,18407.0,17685.0,16058.0,13672.0,11619.0,11101.0
19540.0,18538.0,17787.0,16164.0,13757.0,11701.0,11168.0
19660.0,18662.0,17897.0,16265.0,13842.0,11783.0,11236.0
19783.0,18777.0,18006.0,16377.0,13927.0,11866.0,11304.0
19897.0,18902.0,18115.0,16477.0,14011.0,11949.0,11372.0
20031.0,19010.0,18223.0,16589.0,14095.0,12031.0,11440.0
20157.0,19128.0,18331.0,16695.0,14179.0,12114.0,11508.0
20273.0,19241.0,18444.0,16802.0,14264.0,12197.0,11575.0
20402.0,19352.0,18559.0,16910.0,14350.0,12281.0,11643.0
20522.0,19465.0,18673.0,17018.0,14434.0,12363.0,11711.0
20636.0,19585.0,18794.0,17125.0,14519.0,12446.0,11778.0
20760.0,19697.0,18905.0,17226.0,14604.0,12529.0,11846.0
20880.0,19812.0,19023.0,17332.0,14690.0,12613.0,11913.0
20992.0,19932.0,19130.0,17439.0,14775.0,12696.0,11980.0
21116.0,20041.0,19254.0,17551.0,14860.0,12779.0,12047.0
21235.0,20159.0,19369.0,17656.0,14945.0,12862.0,12114.0
21351.0,20278.0,19482.0,17760.0,15034.0,12945.0,12181.0
21466.0,20394.0,19594.0,17865.0,15114.0,13029.0,12248.0
21577.0,20510.0,19703.0,17971.0,15199.0,13114.0,12315.0
21705.0,20630.0,19811.0,18077.0,15283.0,13198.0,12382.0
21826.0,20752.0,19916.0,18189.0,15367.0,13282.0,12448.0
21941.0,20866.0,20026.0,18289.0,15452.0,13367.0,12515.0
22071.0,20990.0,20122.0,18397.0,15536.0,13452.0,12582.0
22204.0,21109.0,20229.0,18504.0,15621.0,13537.0,12648.0
22336.0,21236.0,20324.0,18612.0,15706.0,13622.0,12714.0
22459.0,21365.0,20429.0,18725.0,15791.0,13706.0,12780.0
22575.0,21487.0,20542.0,18824.0,15875.0,13791.0,12847.0
22684.0,21608.0,20658.0,18934.0,15960.0,13876.0,12913.0
22805.0,21723.0,20768.0,19040.0,16044.0,13960.0,12980.0
22923.0,21853.0,20903.0,19137.0,16134.0,14045.0,13046.0
23050.0,21967.0,21020.0,19239.0,16213.0,14130.0,13112.0
23161.0,22083.0,21140.0,19340.0,16297.0,14214.0,13178.0
23280.0,22207.0,21259.0,19441.0,16381.0,14299.0,13245.0
23405.0,22321.0,21375.0,19542.0,16464.0,14384.0,13311.0
23519.0,22450.0,21481.0,19649.0,16552.0,14469.0,13378.0
23628.0,22573.0,21605.0,19739.0,16625.0,14553.0,13444.0
23755.0,22702.0,21702.0,19843.0,16714.0,14638.0,13510.0
23878.0,22827.0,21815.0,19950.0,16796.0,14724.0,13577.0
24002.0,22962.0,21920.0,20067.0,16879.0,14808.0,13644.0
24131.0,23088.0,22023.0,20180.0,16961.0,14892.0,13710.0
24260.0,23209.0,22126.0,20290.0,17043.0,14976.0,13776.0
24389.0,23338.0,22227.0,20401.0,17126.0,15060.0,13843.0
24526.0,23460.0,22327.0,20513.0,17210.0,15144.0,13909.0
24651.0,23582.0,22427.0,20624.0,17294.0,15228.0,13976.0
24774.0,23701.0,22526.0,20736.0,17378.0,15312.0,14042.0
24908.0,23825.0,22626.0,20840.0,17462.0,15397.0,14108.0
25032.0,23939.0,22727.0,20948.0,17546.0,15482.0,14174.0
25147.0,24062.0,22832.0,21050.0,17637.0,15567.0,14241.0
25282.0,24176.0,22943.0,21167.0,17716.0,15652.0,14307.0
25408.0,24300.0,23064.0,21272.0,17800.0,15737.0,14373.0
25523.0,24419.0,23182.0,21371.0,17886.0,15823.0,14439.0
25657.0,24547.0,23293.0,21475.0,17972.0,15909.0,14505.0
25779.0,24660.0,23403.0,21578.0,18057.0,15994.0,14571.0
25894.0,24778.0,23513.0,21680.0,18143.0,16080.0,14638.0
26026.0,24902.0,23620.0,21782.0,18230.0,16165.0,14703.0
26164.0,25018.0,23746.0,21885.0,18316.0,16250.0,14769.0
26312.0,25141.0,23849.0,21997.0,18402.0,16334.0,14835.0
26451.0,25262.0,23977.0,22106.0,18493.0,16418.0,14901.0
26587.0,25382.0,24084.0,22206.0,18573.0,16502.0,14967.0
26725.0,25499.0,24195.0,22324.0,18659.0,16586.0,15033.0
26862.0,25617.0,24307.0,22434.0,18745.0,16670.0,15099.0
26998.0,25734.0,24420.0,22546.0,18831.0,16755.0,15166.0
27129.0,25844.0,24535.0,22656.0,18917.0,16840.0,15232.0
27260.0,25960.0,24645.0,22765.0,19003.0,16925.0,15298.0
27406.0,26072.0,24754.0,22873.0,19089.0,17010.0,15364.0
27542.0,26190.0,24857.0,22984.0,19175.0,17096.0,15431.0
27665.0,26296.0,24968.0,23075.0,19262.0,17181.0,15497.0
27799.0,26406.0,25078.0,23183.0,19349.0,17267.0,15564.0
27931.0,26514.0,25187.0,23283.0,19440.0,17352.0,15631.0
28063.0,26623.0,25289.0,23381.0,19514.0,17438.0,15697.0
28192.0,26743.0,25398.0,23478.0,19613.0,17524.0,15764.0
28320.0,26854.0,25517.0,23575.0,19693.0,17609.0,15831.0
28453.0,26971.0,25626.0,23672.0,19779.0,17695.0,15898.0
28590.0,27093.0,25732.0,23771.0,19865.0,17781.0,15965.0
28730.0,27207.0,25844.0,23870.0,19951.0,17866.0,16031.0
28861.0,27328.0,25945.0,23970.0,20037.0,17951.0,16098.0
28991.0,27448.0,26052.0,24073.0,20123.0,18037.0,16165.0
29139.0,27565.0,26160.0,24175.0,20209.0,18122.0,16231.0
29275.0,27676.0,26269.0,24277.0,20294.0,18207.0,16298.0
29409.0,27796.0,26377.0,24377.0,20379.0,18293.0,16364.0
