baseline,stage1,stage2,stage3,stage4,recovery,stage5
90.0,98.0,100.0,103.0,128.0,171.0,146.0
92.0,106.0,101.0,121.0,113.0,171.0,145.0
92.0,101.0,103.0,102.0,121.0,169.0,146.0
86.0,96.0,103.0,104.0,121.0,167.0,143.0
86.0,96.0,100.0,104.0,122.0,169.0,145.0
89.0,92.0,95.0,106.0,122.0,169.0,141.0
93.0,86.0,98.0,107.0,124.0,169.0,143.0
90.0,98.0,98.0,108.0,124.0,169.0,143.0
84.0,93.0,97.0,102.0,124.0,169.0,141.0
96.0,94.0,94.0,122.0,124.0,167.0,143.0
94.0,85.0,97.0,103.0,119.0,167.0,143.0
100.0,94.0,99.0,117.0,128.0,167.0,145.0
90.0,92.0,99.0,104.0,124.0,167.0,145.0
93.0,103.0,97.0,111.0,122.0,167.0,145.0
101.0,98.0,98.0,111.0,122.0,169.0,145.0
94.0,97.0,97.0,112.0,124.0,167.0,145.0
98.0,107.0,107.0,110.0,125.0,167.0,146.0
103.0,101.0,103.0,106.0,125.0,167.0,148.0
90.0,94.0,102.0,103.0,120.0,167.0,150.0
96.0,104.0,103.0,114.0,133.0,169.0,148.0
104.0,100.0,103.0,109.0,128.0,169.0,150.0
88.0,96.0,102.0,108.0,128.0,167.0,152.0
90.0,102.0,99.0,107.0,129.0,167.0,150.0
87.0,94.0,96.0,109.0,129.0,169.0,154.0
85.0,103.0,99.0,109.0,128.0,167.0,152.0
98.0,96.0,101.0,112.0,129.0,164.0,154.0
92.0,100.0,95.0,112.0,129.0,167.0,152.0
88.0,103.0,103.0,112.0,129.0,164.0,154.0
96.0,90.0,100.0,115.0,130.0,164.0,156.0
94.0,100.0,102.0,115.0,129.0,164.0,154.0
99.0,97.0,102.0,117.0,129.0,164.0,154.0
91.0,104.0,101.0,115.0,129.0,162.0,156.0
93.0,97.0,102.0,124.0,130.0,162.0,158.0
102.0,94.0,103.0,109.0,130.0,164.0,156.0
94.0,97.0,112.0,110.0,132.0,160.0,156.0
99.0,99.0,94.0,121.0,130.0,162.0,158.0
92.0,91.0,99.0,112.0,130.0,162.0,160.0
98.0,96.0,101.0,109.0,130.0,160.0,158.0
94.0,94.0,103.0,109.0,132.0,160.0,158.0
92.0,103.0,103.0,112.0,130.0,160.0,160.0
94.0,92.0,103.0,112.0,133.0,158.0,160.0
88.0,93.0,101.0,112.0,130.0,158.0,162.0
94.0,98.0,104.0,111.0,130.0,160.0,162.0
88.0,92.0,100.0,118.0,130.0,158.0,162.0
97.0,99.0,109.0,103.0,130.0,158.0,164.0
104.0,93.0,103.0,113.0,132.0,158.0,162.0
88.0,101.0,100.0,117.0,130.0,158.0,164.0
94.0,97.0,103.0,122.0,130.0,158.0,164.0
102.0,105.0,104.0,115.0,125.0,158.0,164.0
95.0,96.0,103.0,115.0,141.0,156.0,164.0
94.0,98.0,101.0,117.0,132.0,158.0,167.0
99.0,92.0,100.0,117.0,133.0,160.0,164.0
92.0,102.0,103.0,110.0,132.0,158.0,167.0
99.0,99.0,103.0,115.0,132.0,158.0,164.0
95.0,92.0,103.0,114.0,132.0,160.0,167.0
103.0,99.0,101.0,98.0,133.0,158.0,164.0
95.0,95.0,109.0,114.0,133.0,160.0,167.0
94.0,102.0,101.0,108.0,132.0,160.0,164.0
103.0,92.0,105.0,109.0,130.0,160.0,167.0
93.0,94.0,105.0,108.0,132.0,160.0,164.0
91.0,95.0,104.0,111.0,126.0,160.0,167.0
86.0,95.0,105.0,113.0,141.0,158.0,164.0
94.0,105.0,106.0,113.0,133.0,158.0,164.0
88.0,102.0,102.0,112.0,133.0,160.0,167.0
92.0,91.0,100.0,112.0,132.0,158.0,164.0
92.0,98.0,99.0,112.0,133.0,156.0,167.0
92.0,104.0,101.0,113.0,133.0,156.0,167.0
102.0,96.0,95.0,115.0,132.0,156.0,167.0
94.0,98.0,103.0,114.0,132.0,156.0,167.0
90.0,98.0,98.0,115.0,132.0,156.0,167.0
100.0,99.0,98.0,115.0,130.0,158.0,169.0
98.0,98.0,108.0,117.0,133.0,156.0,167.0
92.0,100.0,103.0,117.0,133.0,156.0,167.0
